humidity_inside,temperature_inside,co2_inside,temperature_heater,temperature_wall_inside,state_air_quality
55.77,23.159,2505,42.625,14.25,2
58.28,19.765,1611,30.625,12.562,1
58.14,20.518,1688,44.187,12.875,1
49.99,20.525,806,44.75,12.875,1
54.32,22.304,1723,42.25,13.437,1
55.53,22.315,2018,40.187,13.5,2
54.59,22.489,2088,42.875,13.562,2
54.84,22.962,2389,44.125,13.812,2
53.62,23.561,2511,41.875,13.937,2
47.83,27.517,5544,36.875,14.125,2
56.19,23.747,4891,41.312,13.937,2
57.11,19.865,1335,30.625,12.187,1
54.12,21.314,1299,49.375,12.75,1
43.9,20.128,625,31.25,12.125,1
46.12,22.885,1271,43.437,12.812,1
42.48,22.542,956,48.5,12.625,1
42.78,22.346,938,44.437,12.687,1
43.63,23.089,1174,48.25,13.0,1
44.26,23.239,1342,49.062,13.0,1
43.63,23.001,1349,47.5,12.875,1
59.56,23.302,1707,45.187,13.0,1
58.07,20.702,859,40.75,11.125,1
42.06,19.31,566,30.187,10.375,1
46.46,19.47,803,47.5,10.562,1
41.84,22.342,745,41.437,11.437,1
45.15,22.321,1113,40.75,11.437,1
46.08,22.457,1375,39.375,11.5,1
46.75,22.775,1566,47.312,11.75,1
48.04,22.392,1670,39.875,11.625,1
48.95,22.72,1912,40.937,11.812,1
50.38,22.811,2115,45.437,11.937,2
53.48,19.401,1098,29.437,10.375,1
51.52,20.864,1197,44.562,11.0,1
53.3,21.948,1472,47.437,11.375,1
53.01,22.437,1350,43.5,11.75,1
52.78,22.449,1452,43.187,11.875,1
53.13,22.588,1732,42.437,11.937,1
52.96,22.959,1919,43.562,12.125,1
53.89,22.806,2163,41.062,12.125,2
53.64,22.901,2306,43.875,12.25,2
55.51,22.795,2501,39.937,12.312,2
57.64,19.186,1428,23.625,10.75,1
48.67,18.104,485,32.562,10.75,1
52.36,20.196,964,44.25,11.812,1
54.27,22.031,1197,37.312,12.625,1
53.44,21.769,1140,39.875,12.625,1
54.24,22.119,1451,40.812,12.937,1
53.54,22.34,1571,41.437,13.125,1
54.4,22.651,1841,41.937,13.375,1
53.21,22.091,1021,41.125,13.562,1
54.23,22.428,1219,42.312,13.75,1
54.5,22.656,1518,41.125,13.875,1
52.33,22.565,1318,42.0,13.562,1
53.45,22.719,1517,42.375,13.625,1
54.22,22.749,1776,41.687,13.687,1
54.59,22.705,1820,41.312,13.625,1
53.82,23.017,1925,40.875,13.75,1
55.54,22.774,2229,40.187,13.75,2
56.73,23.064,2486,43.625,13.875,2
57.51,20.409,1593,44.562,12.75,1
50.53,21.457,1068,45.687,13.25,1
54.15,22.621,2001,45.437,13.625,2
55.53,23.542,2246,43.375,13.937,2
52.84,23.311,2394,42.5,13.812,2
48.58,22.775,1222,43.625,13.812,1
49.57,23.469,1522,47.375,14.125,1
49.86,23.412,1606,43.25,14.062,1
51.91,23.293,1865,42.75,14.062,1
52.73,23.621,2066,44.687,14.187,2
56.04,19.757,1148,23.875,11.375,1
53.86,20.971,1212,46.875,12.25,1
51.51,22.405,1465,49.312,12.687,1
43.88,23.374,1136,28.437,12.625,1
44.59,22.898,1224,31.625,12.5,1
45.13,22.947,1364,39.812,12.75,1
44.75,22.52,1139,43.625,12.75,1
54.55,22.46,1562,39.437,12.687,1
57.62,22.558,1813,35.375,12.75,1
58.79,22.959,2168,41.937,13.0,2
65.43,19.306,834,24.375,10.312,1
66.17,19.285,1084,25.125,10.25,1
68.38,19.3,1258,23.937,10.187,1
