,Time,Inverter,AcFreq,AcPower,Edaily,Eint,Etotal,Riso,Error,Status,Temp1,Temp2,Dci,Dcp,Dcu,Aci,Acp,Acu,Inverter_string,StringNumber_string,Used_string,Azimuth_string,Elevation_string,SingleModulePower_string,StringCount_string,ModulesPerString_string,ModulePower_string,Installation_string,ModuleManufacturer_string,ModuleType_string,AnalysisGroup_string,Inverter_inverter,Azimuth_inverter,Elevation_inverter,Power_inverter,ModulePower_inverter,InverterManufacturer_inverter,InverterType_inverter,ModuleManufacturer_inverter,ModuleType_inverter,AnalysisGroup_inverter,Plant_plant,PostalCode_plant,City_plant,Street_plant,Latitude_plant,Longitude_plant,ModulArea_plant,SpecificEnergyExpected_plant,StartupDate_plant,TotalPower_plant,string_id,tags
252,20.01.21 09:30,WR 3 Diehl,,278.0,0.138,,,,,MPP,10.0,,0.20777027,123,592,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
253,20.01.21 09:35,WR 3 Diehl,,321.0,0.165,,,,,MPP,10.0,,0.24040067,144,599,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
254,20.01.21 09:40,WR 3 Diehl,,362.0,0.195,,,,,MPP,10.0,,0.2781457,168,604,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
255,20.01.21 09:45,WR 3 Diehl,,411.0,0.23,,,,,MPP,10.0,,0.31691298,193,609,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
256,20.01.21 09:50,WR 3 Diehl,,455.0,0.267,,,,,MPP,12.0,,0.3553719,215,605,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
257,20.01.21 09:55,WR 3 Diehl,,502.0,0.309,,,,,MPP,12.0,,0.39314845,241,613,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
258,20.01.21 10:00,WR 3 Diehl,,535.0,0.354,,,,,MPP,13.0,,0.4197731,259,617,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
259,20.01.21 10:05,WR 3 Diehl,,570.0,0.402,,,,,MPP,14.0,,0.44749597,277,619,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
260,20.01.21 10:10,WR 3 Diehl,,627.0,0.45399999999999996,,,,,MPP,14.0,,0.48878205,305,624,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
261,20.01.21 10:15,WR 3 Diehl,,702.0,0.512,,,,,MPP,15.0,,0.5537721,345,623,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
262,20.01.21 10:20,WR 3 Diehl,,778.0,0.5770000000000001,,,,,MPP,15.0,,0.6136725,386,629,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
263,20.01.21 10:25,WR 3 Diehl,,809.0,0.645,,,,,MPP,15.0,,0.63968253,403,630,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
264,20.01.21 10:30,WR 3 Diehl,,799.0,0.711,,,,,MPP,16.0,,0.63174605,398,630,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
265,20.01.21 10:35,WR 3 Diehl,,798.0,0.778,,,,,MPP,16.0,,0.63116056,397,629,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
266,20.01.21 10:40,WR 3 Diehl,,841.0,0.848,,,,,MPP,17.0,,0.6687898,420,628,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
267,20.01.21 10:45,WR 3 Diehl,,918.0,0.925,,,,,MPP,17.0,,0.73015875,460,630,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
268,20.01.21 10:50,WR 3 Diehl,,1004.0,1.0090000000000001,,,,,MPP,17.0,,0.79652995,505,634,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
269,20.01.21 10:55,WR 3 Diehl,,1066.0,1.0979999999999999,,,,,MPP,17.0,,0.8472441,538,635,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
270,20.01.21 11:00,WR 3 Diehl,,1083.0,1.188,,,,,MPP,17.0,,0.86277604,547,634,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
271,20.01.21 11:05,WR 3 Diehl,,1158.0,1.284,,,,,MPP,18.0,,0.92440945,587,635,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
272,20.01.21 11:10,WR 3 Diehl,,1242.0,1.3880000000000001,,,,,MPP,18.0,,0.9921384,631,636,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
273,20.01.21 11:15,WR 3 Diehl,,1327.0,1.4980000000000002,,,,,MPP,18.0,,1.0612245,676,637,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
274,20.01.21 11:20,WR 3 Diehl,,1340.0,1.61,,,,,MPP,18.0,,1.0738994,683,636,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
275,20.01.21 11:25,WR 3 Diehl,,1307.0,1.719,,,,,MPP,18.0,,1.048819,666,635,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
